;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1;Theta O1;Alpha O1;Beta O1;Delta PO7;Theta PO7;Alpha PO7;Beta PO7;Delta O2;Theta O2;Alpha O2;Beta O2;Delta PO8;Theta PO8;Alpha PO8;Beta PO8;Delta PO3;Theta PO3;Alpha PO3;Beta PO3;Delta PO4;Theta PO4;Alpha PO4;Beta PO4;Delta_1;Theta_1;Alpha_1;Beta_1
S3;Resting;0.046334164;0.028342585;0.014756691;0.030679849;0.044953552;0.028947506;0.015919348;0.035635409;0.043547666;0.029033786;0.01737008;0.034153193;0.047698437;0.029427195;0.016210048;0.030652346;0.041173957;0.031176431;0.018778348;0.036660006;0.046036479;0.028139924;0.017396745;0.032780678;0.043215832;0.025116362;0.014914236;0.027699094;9.60333;1.97121;-6.54196;1.21119
S5;Resting;0.012834732;0.017736995;0.05204449;0.032955682;0.012400007;0.016124658;0.072259784;0.038196785;0.012993897;0.018346612;0.088334783;0.04023591;0.013758589;0.018547953;0.0463176;0.031008582;0.012858779;0.017458106;0.052484868;0.033868035;0.009813882;0.014293734;0.05962376;0.030312679;0.012256351;0.017025516;0.0389036;0.027901963;-5.44332;-5.4661;2.77374;1.42036
S6;Resting;0.013942875;0.023914283;0.05713828;0.029524554;0.013240957;0.023520051;0.06180971;0.033942044;0.014727768;0.025313627;0.066140136;0.042417681;0.010890596;0.023320953;0.071005538;0.03103371;0.010345393;0.018865006;0.089944328;0.032963997;0.012318949;0.019367456;0.053555095;0.025942264;0.008587013;0.015932701;0.052633498;0.020417773;-5.63729;-2.64927;3.8625;0.260158
S10;Resting;0.029570732;0.028398272;0.040300565;0.021280368;0.029238581;0.02754377;0.035354279;0.021385153;0.030036058;0.02741805;0.032777321;0.022469578;0.029342003;0.028984976;0.051106221;0.02328813;0.029800264;0.030112782;0.064609535;0.026880579;0.033825257;0.029792327;0.031484479;0.019583788;0.029446895;0.027462262;0.044787417;0.019513475;2.83567;1.93273;-0.914779;-3.01152
S14;Resting;0.031958096;0.027163082;0.03760624;0.023924718;0.027337412;0.029059642;0.037913153;0.027605833;0.028588558;0.030587755;0.045238288;0.058653273;0.029608442;0.030298235;0.037854603;0.023095201;0.034113339;0.031800225;0.039603182;0.026048375;0.024513206;0.026568357;0.03498317;0.024402067;0.026389549;0.028513059;0.036407886;0.022603519;2.24023;2.33152;-1.72155;-0.459707
S15;Resting;0.006706122;0.017334292;0.091493216;0.020449905;0.00723867;0.019045004;0.108384419;0.025341438;0.006669592;0.020393701;0.094953197;0.02459672;0.007188674;0.017251322;0.081536047;0.018640702;0.008039402;0.019214304;0.083332564;0.019544464;0.00561212;0.015258125;0.072717486;0.01722147;0.006352908;0.014802217;0.059905686;0.015782037;-8.05556;-5.13531;8.54563;-3.88548
S16;Resting;0.046757788;0.043595383;0.015695152;0.019921149;0.050173441;0.041131239;0.017107165;0.023780114;0.048477491;0.042461919;0.015382712;0.021462708;0.041125427;0.04229576;0.014612445;0.019191892;0.046482609;0.043681975;0.012421646;0.021770417;0.050095884;0.034090175;0.012459813;0.014115435;0.049984423;0.038540373;0.012083001;0.013688672;10.9735;9.89343;-7.0008;-4.31401
S21;Resting;0.037564373;0.038623758;0.022356766;0.022891995;0.042262083;0.037746202;0.023467832;0.025552033;0.037370584;0.039040588;0.029779698;0.028541472;0.035094418;0.035673259;0.024601943;0.023267071;0.035415248;0.034554213;0.023130411;0.022993412;0.030171169;0.030848137;0.017334258;0.018201189;0.032552548;0.031625487;0.018443592;0.018150085;5.45107;6.3959;-5.17958;-2.87809
S22;Resting;0.029612335;0.027084176;0.017339258;0.057756258;0.024741921;0.025327446;0.018900469;0.058138878;0.024724508;0.025604774;0.018066023;0.057015417;0.026318913;0.025687839;0.017177005;0.055600297;0.02553362;0.023679581;0.016179578;0.052753199;0.022562276;0.025098052;0.017007205;0.054749255;0.023953415;0.022691192;0.018792015;0.055360905;0.568986;-0.338062;-6.2807;10.5365
S23;Resting;0.026117965;0.033000164;0.045580544;0.025553555;0.025094054;0.034590387;0.045650094;0.022928447;0.023592654;0.033230772;0.048916654;0.022531215;0.026824801;0.033336595;0.048010505;0.03241306;0.026053917;0.031895645;0.045066762;0.02709712;0.022367389;0.028161571;0.044674213;0.016717798;0.022589609;0.0283805;0.049532861;0.019951519;0.250987;4.04656;0.0991244;-2.37949
S24;Resting;0.027984591;0.038445413;0.028204936;0.0220497;0.029048406;0.038600362;0.029387596;0.023616796;0.026924077;0.043292751;0.033621377;0.029068746;0.031963438;0.039892401;0.03050177;0.023229068;0.035049133;0.043707323;0.034310928;0.025764647;0.025827616;0.036485318;0.033501834;0.024449591;0.031759643;0.04215194;0.035462155;0.025459348;2.65525;9.5905;-3.13957;-1.90837
