;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1;Theta O1;Alpha O1;Beta O1;Delta PO7;Theta PO7;Alpha PO7;Beta PO7;Delta O2;Theta O2;Alpha O2;Beta O2;Delta PO8;Theta PO8;Alpha PO8;Beta PO8;Delta PO3;Theta PO3;Alpha PO3;Beta PO3;Delta PO4;Theta PO4;Alpha PO4;Beta PO4;Delta_1;Theta_1;Alpha_1;Beta_1
S2;Resting open;0.029516252;0.041226342;0.024839536;0.025950565;0.029432996;0.041226989;0.024815855;0.026109225;0.030439528;0.040675233;0.025774323;0.029320604;0.028833492;0.040167957;0.025834157;0.022437631;0.029661015;0.039150967;0.026698019;0.023102905;0.027201046;0.0394605;0.023397041;0.022994845;0.031929841;0.036878981;0.025164325;0.020364242;4.03173;5.08514;-4.82928;-1.96206
S3;Resting open;0.046421305;0.037414356;0.022463455;0.034883485;0.040935028;0.034080698;0.01827957;0.033269956;0.04653962;0.031829433;0.020127535;0.030484953;0.041911675;0.030215615;0.017794736;0.026435905;0.049101785;0.032519484;0.024080836;0.030678142;0.039093244;0.028056512;0.018223023;0.029823351;0.036908187;0.029488844;0.016633091;0.023704752;11.8558;0.835589;-6.0775;1.43621
S5;Resting open;0.006977355;0.014455946;0.067620315;0.035715514;0.006820528;0.014851826;0.100952123;0.042564745;0.007058404;0.014642205;0.116170571;0.045320291;0.006790881;0.014769911;0.058043884;0.035110262;0.006440582;0.014570708;0.066095147;0.038537556;0.006458734;0.013487646;0.067289011;0.032478696;0.006360567;0.013546166;0.044002608;0.029300075;-9.39064;-8.50227;6.32931;5.38297
S6;Resting open;0.016346437;0.020152711;0.064377488;0.021504171;0.019520688;0.019265839;0.070051542;0.024403834;0.017966552;0.023364347;0.074508186;0.032808673;0.016444129;0.020429176;0.078406687;0.021998368;0.01725119;0.016036816;0.102368304;0.023039543;0.013558564;0.015979717;0.059046091;0.018171814;0.012735955;0.015002316;0.057195798;0.014493773;-3.78526;-6.28399;5.74369;-3.32486
S7;Resting open;0.021182826;0.052818766;0.026897293;0.022473095;0.022346516;0.051956131;0.027920816;0.025406959;0.022149261;0.054501827;0.030501633;0.027313861;0.022470374;0.052869295;0.027166985;0.022380231;0.025551979;0.050605341;0.025948988;0.022293907;0.020295292;0.049148896;0.022447568;0.019209665;0.023584107;0.049155463;0.022751725;0.017667865;-0.10629;11.3565;-4.57269;-3.13902
S10;Resting open;0.026685604;0.032956334;0.041797502;0.016124126;0.025077011;0.032669706;0.03100369;0.015843408;0.024023875;0.032558017;0.025530927;0.016893441;0.0274621;0.034341838;0.058974746;0.018490618;0.02670759;0.035293072;0.069660653;0.022165532;0.045145506;0.040839453;0.029857307;0.014648061;0.026135735;0.032374454;0.052799855;0.015293418;3.41613;2.29492;-0.597682;-6.13568
S11;Resting open;0.022862917;0.031923564;0.048020126;0.022088639;0.023037843;0.031567751;0.051451765;0.022492972;0.022530531;0.03072418;0.047163272;0.020012798;0.021477055;0.030524697;0.052514078;0.023488628;0.024826133;0.036274921;0.060548741;0.027042306;0.018600509;0.026283162;0.061968238;0.018417378;0.018519167;0.026413555;0.063367149;0.021085911;-0.601074;0.136998;1.84108;-3.12706
S13;Resting open;0.031584857;0.0374265;0.022441593;0.038799329;0.030355698;0.041060106;0.022151526;0.040586574;0.030752817;0.04081409;0.022300109;0.043003313;0.025698313;0.035105696;0.022098845;0.038910943;0.023857013;0.033812234;0.020955509;0.038542588;0.021123411;0.034604065;0.018926182;0.032574998;0.022867579;0.036397886;0.020032394;0.034107421;2.27859;3.58031;-5.6993;6.1489
S14;Resting open;0.031339497;0.021975768;0.042996996;0.021273752;0.030516551;0.022074695;0.052752976;0.025547069;0.032174647;0.025545568;0.069743777;0.049884444;0.030808583;0.021866;0.041862494;0.020636507;0.034099157;0.023029278;0.047484168;0.023067413;0.030583057;0.020941524;0.048074525;0.020224436;0.027773343;0.017583977;0.042608211;0.018616664;4.85709;-4.49677;0.587754;-1.73133
S15;Resting open;0.006617189;0.020740505;0.087854463;0.020751764;0.007510824;0.023264367;0.108432746;0.025155391;0.007267312;0.023770835;0.099585345;0.025933869;0.006847157;0.020372934;0.071763211;0.018247187;0.007585513;0.020171175;0.065854156;0.017744812;0.007032421;0.020261948;0.080072388;0.019345752;0.007606506;0.017614145;0.0573105;0.015706187;-9.08736;-5.02734;8.16846;-4.3183
S16;Resting open;0.036105659;0.040717637;0.023318345;0.029163396;0.035347429;0.043563541;0.025703973;0.034309125;0.0414591;0.045942671;0.025770036;0.029844972;0.034322104;0.03844372;0.022479299;0.02602393;0.031987122;0.037094347;0.022075771;0.029391696;0.032129451;0.036249529;0.022115027;0.021620816;0.029412686;0.033081063;0.020607341;0.020466555;6.81489;4.74587;-5.27785;-0.264251
