;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1;Theta O1;Alpha O1;Beta O1;Delta PO7;Theta PO7;Alpha PO7;Beta PO7;Delta O2;Theta O2;Alpha O2;Beta O2;Delta PO8;Theta PO8;Alpha PO8;Beta PO8;Delta PO3;Theta PO3;Alpha PO3;Beta PO3;Delta PO4;Theta PO4;Alpha PO4;Beta PO4;Delta_1;Theta_1;Alpha_1;Beta_1
S2;Resting open;0.029516252;0.041226342;0.024839536;0.025950565;0.029432996;0.041226989;0.024815855;0.026109225;0.030439528;0.040675233;0.025774323;0.029320604;0.028833492;0.040167957;0.025834157;0.022437631;0.029661015;0.039150967;0.026698019;0.023102905;0.027201046;0.0394605;0.023397041;0.022994845;0.031929841;0.036878981;0.025164325;0.020364242;0.987249;6.97914;-4.0316;-1.11459
S3;Resting open;0.046421305;0.037414356;0.022463455;0.034883485;0.040935028;0.034080698;0.01827957;0.033269956;0.04653962;0.031829433;0.020127535;0.030484953;0.041911675;0.030215615;0.017794736;0.026435905;0.049101785;0.032519484;0.024080836;0.030678142;0.039093244;0.028056512;0.018223023;0.029823351;0.036908187;0.029488844;0.016633091;0.023704752;6.81884;1.84085;-5.32419;2.07347
S5;Resting open;0.006977355;0.014455946;0.067620315;0.035715514;0.006820528;0.014851826;0.100952123;0.042564745;0.007058404;0.014642205;0.116170571;0.045320291;0.006790881;0.014769911;0.058043884;0.035110262;0.006440582;0.014570708;0.066095147;0.038537556;0.006458734;0.013487646;0.067289011;0.032478696;0.006360567;0.013546166;0.044002608;0.029300075;-9.19441;-9.60437;7.49005;5.75504
S7;Resting open;0.021182826;0.052818766;0.026897293;0.022473095;0.022346516;0.051956131;0.027920816;0.025406959;0.022149261;0.054501827;0.030501633;0.027313861;0.022470374;0.052869295;0.027166985;0.022380231;0.025551979;0.050605341;0.025948988;0.022293907;0.020295292;0.049148896;0.022447568;0.019209665;0.023584107;0.049155463;0.022751725;0.017667865;-2.16158;14.6298;-3.78305;-2.22038
S10;Resting open;0.026685604;0.032956334;0.041797502;0.016124126;0.025077011;0.032669706;0.03100369;0.015843408;0.024023875;0.032558017;0.025530927;0.016893441;0.0274621;0.034341838;0.058974746;0.018490618;0.02670759;0.035293072;0.069660653;0.022165532;0.045145506;0.040839453;0.029857307;0.014648061;0.026135735;0.032374454;0.052799855;0.015293418;0.65744;3.5251;0.421665;-4.973
S14;Resting open;0.031339497;0.021975768;0.042996996;0.021273752;0.030516551;0.022074695;0.052752976;0.025547069;0.032174647;0.025545568;0.069743777;0.049884444;0.030808583;0.021866;0.041862494;0.020636507;0.034099157;0.023029278;0.047484168;0.023067413;0.030583057;0.020941524;0.048074525;0.020224436;0.027773343;0.017583977;0.042608211;0.018616664;1.57159;-4.7657;1.59475;-0.919425
S15;Resting open;0.006617189;0.020740505;0.087854463;0.020751764;0.007510824;0.023264367;0.108432746;0.025155391;0.007267312;0.023770835;0.099585345;0.025933869;0.006847157;0.020372934;0.071763211;0.018247187;0.007585513;0.020171175;0.065854156;0.017744812;0.007032421;0.020261948;0.080072388;0.019345752;0.007606506;0.017614145;0.0573105;0.015706187;-8.95768;-5.39147;9.40947;-3.36462
S16;Resting open;0.036105659;0.040717637;0.023318345;0.029163396;0.035347429;0.043563541;0.025703973;0.034309125;0.0414591;0.045942671;0.025770036;0.029844972;0.034322104;0.03844372;0.022479299;0.02602393;0.031987122;0.037094347;0.022075771;0.029391696;0.032129451;0.036249529;0.022115027;0.021620816;0.029412686;0.033081063;0.020607341;0.020466555;3.00981;6.53038;-4.50839;0.459268
S18;Resting open;0.02801387;0.039960461;0.024140591;0.029599731;0.027094558;0.040961194;0.023983359;0.030963873;0.028222997;0.043154082;0.027003983;0.031842669;0.028687619;0.037597913;0.023729757;0.028588372;0.026483485;0.039960697;0.027748096;0.030299228;0.0207769;0.035334621;0.03044365;0.030492408;0.021524339;0.034163222;0.03242016;0.02958305;-0.785054;6.21013;-3.62319;2.26701
S19;Resting open;0.024406752;0.03274873;0.033580054;0.023925256;0.025270398;0.034631109;0.037678568;0.025485441;0.024771219;0.039536291;0.045238444;0.03768143;0.024439921;0.033883369;0.032063902;0.022667973;0.020637383;0.041922712;0.03957643;0.029002893;0.025412273;0.035679465;0.044395336;0.02883673;0.027695793;0.033926654;0.031911257;0.021340495;-1.17034;4.52448;-1.0621;0.262112
S21;Resting open;0.041269631;0.03454085;0.019324704;0.019270268;0.04626614;0.038642269;0.021143299;0.022417967;0.046911997;0.038253768;0.024361957;0.025130043;0.04147206;0.035814538;0.021340946;0.018604615;0.04639138;0.038022903;0.020293621;0.018241267;0.037216904;0.029478604;0.015870412;0.015790949;0.037961838;0.029971616;0.015900299;0.015154138;6.60346;3.75076;-5.32645;-4.01041
S22;Resting open;0.032799374;0.02294762;0.017165155;0.052180723;0.033127369;0.022286442;0.017073571;0.053473102;0.030504332;0.021785156;0.017064858;0.052172965;0.030808812;0.022135116;0.017861011;0.051149079;0.030928856;0.022881309;0.016649755;0.047946824;0.028783501;0.022312785;0.013997614;0.050279001;0.027307111;0.021658992;0.01546988;0.050551693;1.37021;-4.40751;-6.08969;13.9107
S24;Resting open;0.033494635;0.029619923;0.037587258;0.017238157;0.032714208;0.030658999;0.037255054;0.018637408;0.034022714;0.031781965;0.046944522;0.024138498;0.032073705;0.030218616;0.043042444;0.018064086;0.031966745;0.032562143;0.047533259;0.021483154;0.031430303;0.031117417;0.040381281;0.019808679;0.033377926;0.031364632;0.050441137;0.022602852;2.36702;1.30805;0.161609;-3.27442
S2;Resting;0.010806638;0.02583712;0.068988509;0.021714245;0.010771524;0.025900471;0.069505179;0.021915892;0.009924424;0.02763586;0.079541312;0.027813538;0.010096237;0.024230606;0.072817702;0.01687808;0.009971478;0.023798524;0.083872756;0.016477497;0.010342169;0.024079758;0.073887345;0.019327818;0.011827947;0.022316702;0.076956478;0.015385235;-7.46752;-2.80828;7.69738;-3.63972
S3;Resting;0.015262071;0.016681236;0.034593067;0.050883401;0.018358923;0.019587171;0.036547835;0.058894049;0.018410833;0.017365481;0.041214861;0.062006981;0.015415796;0.018623277;0.036382134;0.053581231;0.018375503;0.020973533;0.050887213;0.065487448;0.017590264;0.019693105;0.038641854;0.051355996;0.012935776;0.017323512;0.038573694;0.052872936;-4.8361;-6.80507;-0.700042;16.6858
S5;Resting;0.007526;0.010376674;0.065798095;0.045331007;0.006639572;0.011796371;0.078313407;0.05765797;0.008426817;0.011467909;0.082190801;0.06332936;0.007789546;0.009209836;0.061603544;0.039508737;0.007705987;0.009083688;0.063395546;0.042042404;0.006874643;0.010138759;0.060543915;0.040706309;0.007488846;0.00995662;0.059001727;0.033627159;-8.83972;-12.2454;5.87552;10.4153
S7;Resting;0.021631958;0.028018275;0.03841667;0.022155952;0.017651658;0.029685408;0.040016309;0.023536836;0.018525637;0.029806465;0.044751222;0.024531252;0.021845666;0.035731782;0.046162057;0.023916554;0.019446456;0.033335832;0.057023813;0.028721709;0.049367231;0.038666333;0.034994656;0.019456925;0.038964194;0.033091573;0.037248068;0.021496857;0.0296324;2.38959;0.0484512;-1.51407
S10;Resting;0.005549823;0.012721171;0.08927234;0.012760997;0.005553831;0.011426415;0.093071226;0.012232643;0.005603374;0.011231464;0.099069063;0.012548597;0.005547611;0.01336491;0.102118663;0.013942746;0.005719847;0.014565158;0.127551561;0.015864259;0.005551476;0.011289234;0.0919942;0.011101346;0.005733815;0.0128981;0.099646177;0.011914599;-9.67097;-10.7645;13.6252;-7.28368
S14;Resting;0.014397188;0.016674321;0.068808211;0.016973634;0.01613691;0.016230966;0.076058145;0.0191452;0.017307829;0.019756632;0.093542342;0.036320974;0.014588955;0.017936798;0.072158824;0.016456529;0.014351976;0.02062506;0.079924461;0.017698967;0.013393075;0.015815868;0.07884264;0.019869762;0.013620614;0.016339868;0.085581483;0.017603747;-5.61089;-7.46924;8.61066;-3.43638
S15;Resting;0.004492372;0.010219933;0.095711089;0.015886045;0.00505393;0.011667085;0.118819854;0.01787766;0.004952979;0.011686202;0.119202792;0.016896916;0.004275102;0.010826508;0.090435342;0.015168592;0.004646623;0.012558586;0.097947492;0.015851167;0.004382019;0.010203681;0.095385284;0.013531659;0.003563339;0.009744745;0.077391355;0.012871544;-10.1883;-11.7922;13.4817;-5.98134
S16;Resting;0.018132716;0.022059064;0.07140498;0.022981415;0.018648165;0.021418712;0.071081366;0.025044447;0.017801854;0.022172886;0.061741799;0.022935389;0.016260783;0.020742377;0.070247886;0.021596033;0.015280317;0.020568273;0.067373182;0.022188975;0.013520736;0.016254191;0.075978183;0.01792901;0.012837233;0.016985389;0.08934799;0.019101747;-5.09263;-5.94356;7.13512;-2.52147
S18;Resting;0.018743627;0.03327062;0.035703177;0.032399878;0.015141944;0.03644078;0.038279791;0.036290258;0.01556389;0.041803872;0.048786004;0.040905677;0.022475719;0.036690279;0.03442728;0.034410716;0.017864798;0.033434789;0.040657127;0.037900037;0.0150235;0.03527331;0.040231548;0.032774819;0.017206082;0.031524219;0.036792684;0.033412146;-4.42966;4.10076;-0.74791;5.06345
S19;Resting;0.012560379;0.028016371;0.064792631;0.015759287;0.01405708;0.030999572;0.067428135;0.017304209;0.015462651;0.03362063;0.065747965;0.022877147;0.01164485;0.02687243;0.062844657;0.015098253;0.017990217;0.035225066;0.081904594;0.020289809;0.013075147;0.03435789;0.085457781;0.020660612;0.010291151;0.02755393;0.069090649;0.014982833;-6.18366;1.19152;6.82902;-4.50959
S21;Resting;0.021643268;0.036961362;0.028339;0.02929007;0.021345501;0.044838794;0.028931028;0.03222966;0.02134602;0.044451181;0.03531313;0.037532353;0.023075397;0.03537693;0.034141181;0.032273828;0.023787837;0.037548532;0.032360473;0.029732584;0.018125362;0.034255373;0.023136259;0.022693951;0.018928604;0.02965891;0.023950734;0.023594594;-2.80465;5.38261;-3.03174;1.72509
